|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously
91|0|0|0|0|0|0|0,0,0,0,0|0|0
92|0|0|0|0|0|0|0,0,0,0,0|0|0
93|0|0|0|1|1|1|0,0,0,0,0|0|0
94|0|0|0|0|1|1|0,0,0,0,0|0|0
95|1|1|0|1|1|1|1,1,0,1,1|0|1
96|0|0|0|0|1|0|0,0,0,0,0|0|0
97|0|0|0|0|0|0|0,0,0,0,0|0|0
98|0|0|0|0|1|0|0,0,0,0,0|0|0
99|1|1|1|1|1|1|1,1,1,1,1|1|1
100|1|0|0|1|1|0|1,1,1,1,1|1|1
101|1|0|1|1|1|1|1,1,1,1,0|0|1
102|0|0|0|1|1|0|0,0,0,0,0|0|0
103|0|0|0|0|0|0|0,0,0,0,0|0|0
104|0|0|0|0|0|0|0,0,0,0,0|0|0
105|0|0|0|0|0|0|0,0,0,0,0|0|0
106|0|0|0|1|1|0|0,0,0,0,0|0|0
107|1|0|0|1|1|0|1,1,1,1,1|1|1
108|0|0|0|0|0|0|0,0,0,0,0|0|0
109|1|1|1|1|1|1|1,0,1,1,1|0|1
110|0|1|0|0|1|0|0,0,0,0,0|0|0
111|0|0|0|0|0|0|0,0,0,0,0|0|0
112|1|0|0|1|1|0|1,1,1,1,0|0|1
113|1|1|1|1|1|1|1,0,1,1,1|0|1
114|0|0|0|0|0|0|0,0,0,0,0|0|0
115|0|0|0|0|0|0|1,0,0,0,0|0|0
116|0|0|0|0|1|1|0,0,0,0,0|0|0
117|0|0|0|0|0|0|0,0,0,0,0|0|0
118|1|0|0|1|1|0|0,1,1,1,0|0|0
119|0|1|1|1|1|1|0,0,0,0,0|0|0
120|0|0|0|0|0|0|0,0,0,0,0|0|0
121|0|0|0|0|0|0|0,0,0,0,0|0|0
122|0|0|0|0|0|0|0,0,0,0,0|0|0
123|0|0|0|0|0|0|0,0,0,0,0|0|0
124|0|0|0|0|1|0|0,0,0,0,0|0|0
125|0|0|0|0|0|0|0,0,0,0,0|0|0
126|0|0|0|1|1|0|0,0,0,0,0|0|0
127|0|0|0|0|0|0|0,0,0,0,0|0|0
128|0|0|0|1|1|0|0,0,0,0,0|0|0
129|0|0|0|0|1|0|0,0,0,0,0|0|0
130|0|0|0|0|1|0|0,1,0,0,0|0|0
131|1|0|0|0|1|0|1,1,1,1,1|1|1
132|0|0|0|1|1|0|1,1,0,0,0|0|0
133|0|0|0|0|0|0|0,0,0,0,0|0|0
134|0|0|0|0|1|0|0,0,0,0,0|0|0
135|1|1|1|0|1|1|1,1,1,1,1|1|1
136|0|0|0|0|0|0|0,0,0,0,0|0|0
137|1|1|0|1|1|1|1,1,1,1,1|1|1
138|0|0|0|1|1|0|0,0,0,0,0|0|0
139|1|0|0|1|0|0|1,1,0,1,1|0|1
140|0|0|0|0|1|0|0,0,0,0,0|0|0
141|1|1|1|1|1|1|1,1,1,1,1|1|1
142|0|0|0|0|0|0|0,0,0,0,0|0|0
143|0|0|0|1|1|0|0,1,0,0,0|0|0
144|1|1|1|1|1|1|1,0,1,1,0|0|0
145|0|0|0|0|0|0|0,0,0,0,0|0|0
146|0|0|0|0|1|0|0,0,0,0,0|0|0
147|0|0|0|0|0|0|0,0,0,0,0|0|0
148|0|1|0|0|1|0|0,0,0,0,0|0|0
149|0|0|0|0|0|0|0,0,0,0,0|0|0
150|1|0|0|0|1|0|1,1,1,0,1|0|1
151|0|0|0|0|0|0|0,0,0,0,0|0|0
152|0|0|0|1|1|0|0,0,0,1,0|0|0
153|0|0|0|0|0|0|0,0,0,0,0|0|0
154|0|0|0|0|0|0|0,0,0,0,0|0|0
155|0|0|0|0|0|0|0,0,0,0,0|0|0
156|1|1|1|1|1|1|1,0,1,1,1|0|1
157|0|0|0|0|1|0|0,0,0,0,0|0|0
158|0|0|0|0|0|0|0,0,0,0,0|0|0
159|1|1|0|1|1|1|1,0,1,1,0|0|0
160|0|0|0|1|1|0|1,0,0,0,0|0|0
161|1|1|0|1|1|0|1,1,1,1,1|1|1
162|1|0|0|1|1|0|1,0,1,1,0|0|0
163|0|0|0|0|0|0|0,0,0,0,0|0|0
164|0|0|0|0|0|0|0,0,0,0,0|0|0
165|0|0|0|0|0|0|0,0,0,0,0|0|0
166|0|1|0|0|1|0|0,0,0,0,0|0|0
167|0|0|0|0|0|0|0,0,0,0,0|0|0
168|1|1|0|0|1|0|1,0,0,1,1|0|0
169|1|0|0|1|1|0|1,0,0,1,1|0|0
170|1|0|1|1|1|1|1,1,1,1,1|1|1
171|0|0|0|0|1|0|0,0,0,0,0|0|0
172|0|1|0|0|1|0|0,0,0,0,0|0|0
173|0|0|0|1|1|0|0,0,0,0,0|0|0
174|1|0|0|0|1|0|1,1,1,1,1|1|1
175|0|0|0|0|0|0|0,0,0,0,0|0|0
176|0|0|0|0|0|0|0,0,0,0,0|0|0
177|0|0|0|0|0|0|1,0,0,0,0|0|0
178|0|0|0|0|1|0|0,0,0,0,0|0|0
179|0|0|0|0|0|0|0,0,0,0,0|0|0
180|0|0|0|1|1|0|0,0,0,0,0|0|0
181|1|1|1|1|1|1|1,1,1,1,1|1|1
182|0|0|0|0|0|0|0,0,0,0,0|0|0
183|0|0|0|0|1|0|0,0,0,0,0|0|0
184|1|0|0|1|1|0|1,0,1,1,0|0|0
185|1|0|1|1|1|1|1,1,1,1,1|1|1
186|0|0|0|0|0|0|0,0,0,0,0|0|0
187|0|0|0|0|0|0|0,0,0,0,0|0|0
188|0|0|0|1|1|0|0,0,0,0,0|0|0
189|0|0|0|0|0|0|0,0,0,0,0|0|0
190|1|0|0|1|1|0|0,1,1,0,1|0|0
191|0|0|0|0|0|0|0,0,0,0,0|0|0
192|0|0|0|0|0|0|0,0,0,0,0|0|0
193|0|0|0|0|0|0|0,0,0,0,0|0|0
194|0|0|0|0|0|0|0,0,0,0,0|0|0
195|1|1|0|1|1|1|1,1,1,1,1|1|1
196|0|0|0|0|1|0|1,0,1,0,0|0|0
197|0|0|0|1|1|0|0,0,0,0,0|0|0
198|0|0|0|0|0|0|0,0,0,0,0|0|0
199|0|0|0|0|0|0|0,0,0,0,0|0|0
200|0|0|0|0|1|0|0,0,0,0,0|0|0
